#separator:tab
#html:false
#columns:Front	Back
数据运算｜整数除法 5/2 的值	2（截断取整，不是四舍五入）
数组｜int a[5]={1,2,3}; 则 a[3] 的值	0（部分初始化自动补 0）
数组｜二维数组初始化能省略行数还是列数	列数不能省，行数可省
数组｜下列哪个合法：int a[2][]; / int a[][3]; / int a[][];	int a[][3];（只有它能省行数）
数组｜对 int x[3][4]，x 与 x[0] 的关系	都表示 x[0][0] 的地址，值相同但类型不同
数组｜int a[3][4] 中 a[1][2] 的内存偏移量（元素为单位）	6（1×4+2）
数组｜字符串比较能否用 ==	不能，必须用 strcmp；== 比较的是地址
数组｜strcmp(s1,s2)==0 表示什么	s1 与 s2 内容相等
数组｜char s1[10]="abc", s2[]="de"; 则 strlen(strcpy(s1,s2)) 的值	2（strcpy 返回目标串首地址）
数组｜strcpy 的返回值	目标串的首地址
数组｜字符串连接函数是哪个	strcat
数组｜复制字符串的函数是哪个	strcpy
数组｜求字符串长度的函数是哪个	strlen
数组｜字符串比较的函数是哪个	strcmp
数组｜"abcd" 的长度	4（不含 \0）
数组｜"Guangdong" 的 strlen 值	9
数组｜数组名能否赋值	a = b 非法，数组名是常量指针
数组｜scanf 读入数组元素可以用 scanf("%d", a) 吗	可以，数组名本身即地址
数组｜二维数组在内存中的存储顺序	按行优先（行主序）
数组｜char c[3]="ab"; 的 sizeof(c) 与 strlen(c)	sizeof=3，strlen=2
数组｜引用数组元素时下标必须是整型常量吗	错，可以是变量或表达式
数组｜char s[]="program"; 的 strlen	7

函数｜值传递会修改实参吗	不会，形参是实参的副本
函数｜递归的必要条件	必须有终止条件，否则无限递归
函数｜不同函数中可以使用同名变量吗	可以，作用域独立互不影响
函数｜复合语句中定义的变量作用域	只在该复合语句内有效
函数｜C 程序可以嵌套调用吗	可以嵌套调用，但不能嵌套定义
函数｜递归的优点	代码简洁、逻辑清晰、接近数学定义
函数｜递归的缺点	效率低、占内存（栈开销大）、可能栈溢出
函数｜sub(n)=n+sub(n-1), sub(1)=1, 则 sub(6) 的值	21（6+5+4+3+2+1）
函数｜递归与循环相比效率如何	递归通常更低（每层调用都要保存现场）
函数｜C 程序可以嵌套定义函数吗	不可以

指针｜& 和 * 的作用	& 取地址，* 取值
指针｜int *p = &a; 则 *p 等价于什么	等价于 a
指针｜指针算术 p+1 前进多少	前进一个元素的大小，不是 1 字节
指针｜int a[5], *p=a; 则 *(p+i) 等价于什么	a[i]
指针｜数组名是常量指针吗	是，不能赋值
指针｜指针的独立分值高吗	不高（实测 3.5 分/卷），但链表、结构体、数组题都依赖它

结构体｜结构体变量在程序执行期间，成员是否驻留内存	所有成员一直驻留在内存中（两年都考）
结构体｜访问结构体成员的三种写法	变量名.成员名；指针->成员名；(*指针).成员名
结构体｜结构体类型可以嵌套定义吗	可以
结构体｜结构体是系统直接提供的类型吗	不是，是用户自定义的构造类型
结构体｜结构体各成员的数据类型必须相同吗	可以不同
结构体｜typedef 的作用	给已有类型起别名，不创建新类型
结构体｜下列哪个说法错误：结构体可以嵌套定义 / 由系统直接提供 / 是构造类型 / 成员可不同类型	"由系统直接提供"是错的

文件｜fopen 失败时的返回值	NULL
文件｜fclose 成功执行的返回值	0（失败返回 EOF）
文件｜EOF 的值	-1
文件｜按数据的组织形式，文件分为哪两类	文本文件（ASCII 文件）和二进制文件
文件｜判断文件是否结束用哪个函数	feof(fp)
文件｜文件打开方式 r 和 w 的区别	r 只读（文件必须存在）；w 只写（覆盖原内容）
文件｜文件打开方式 a 的含义	追加，在文件末尾写入

数据结构基本概念｜逻辑结构分为哪两类	线性结构和非线性结构
数据结构基本概念｜存储结构分为哪两类	顺序存储和链式存储
数据结构基本概念｜线性结构中元素的关系	一对一
数据结构基本概念｜树型结构中元素的关系	一对多
数据结构基本概念｜图形结构中元素的关系	多对多
数据结构基本概念｜数据项与数据元素的区别	数据项是最小不可分单位；数据元素是数据的基本单位
数据结构基本概念｜什么是数据对象	性质相同的数据元素的集合
数据结构基本概念｜抽象数据类型 ADT 包括哪三部分	数据对象 + 数据关系 + 基本操作
数据结构基本概念｜ADT 的核心特征	只描述逻辑特性和操作接口，不涉及存储结构与实现
数据结构基本概念｜决定存储结构时一般不考虑什么	不考虑"各结点的值如何"
数据结构基本概念｜逻辑结构与存储结构的关系	逻辑结构独立于存储结构
数据结构基本概念｜数据的结构类型从逻辑上可分为哪两类	线性结构和非线性结构

算法｜算法的五个特性	有穷性、确定性、可行性、输入、输出
算法｜算法分析的两个主要方面	时间复杂度和空间复杂度
算法｜空间复杂度大，时间复杂度也一定大吗	错，两者没有必然关系
算法｜程序一定是算法吗	错，算法必须有穷，程序可以无限运行
算法｜常见复杂度量级从小到大排序	O(1) < O(log n) < O(n) < O(n log n) < O(n²) < O(2ⁿ)
算法｜下列哪个不是算法特性：有穷性 / 确定性 / 可读性 / 可行性	可读性（那是好算法的设计要求，不是特性）

线性表｜顺序表在第 i 个位置插入元素的复杂度	O(n)（后面元素都要后移）
线性表｜顺序表按下标取元素的复杂度	O(1)（直接计算地址）
线性表｜带头结点单链表为空的判断条件	head->next == NULL
线性表｜不带头结点单链表为空的判断条件	head == NULL
线性表｜在 p 之后插入 s 的正确语句顺序	s->next = p->next; p->next = s;（先接后断，顺序不能反）
线性表｜删除 q 所指结点（p 是前驱）的语句	p->next = q->next; free(q);
线性表｜单链表能随机访问吗	不能，必须从头顺序找
线性表｜线性表中每个元素都有前驱和后继吗	错，首元素无前驱，尾元素无后继
线性表｜对链表操作时必须找到哪个结点	表头结点
线性表｜链式存储结点的空间组成	数据域（存值）+ 指针域（存后继地址）
线性表｜取第 i 个结点及其前驱，最省时间的存储方式	顺序表
线性表｜顺序表与链表相比的优点	可以随机访问，存储密度高
线性表｜顺序表与链表相比的缺点	插入删除效率低（O(n)）、需预先分配连续空间
线性表｜链式存储的结点一定连续存放吗	不一定，物理上可以不连续

栈和队列｜栈的特点	后进先出（LIFO）
栈和队列｜队列的特点	先进先出（FIFO）
栈和队列｜栈和队列有共同点吗	有，两者都是线性表
栈和队列｜栈的插入删除在哪一端进行	只在栈顶
栈和队列｜队列的入队和出队分别在哪端	队尾入队，队头出队

串与广义表｜串 "abcd" 的长度	4
串与广义表｜串的两种基本存储方式	顺序存储和链式存储
串与广义表｜串是特殊的线性表吗	是（元素限定为字符）
串与广义表｜空串与空格串的长度	空串长度 0；空格串长度大于 0
串与广义表｜广义表的长度指什么	最外层元素的个数
串与广义表｜广义表的深度指什么	括号嵌套的最大层数
串与广义表｜广义表 (a,(b,c),d,e,((i,j),k)) 的长度	5
串与广义表｜广义表 (a,(b,c),d,e,((i,j),k)) 的深度	3

树和二叉树｜二叉树第 n 层最多有多少个结点	2^(n-1) 个
树和二叉树｜二叉树第 3 层最多有多少个结点	4 个
树和二叉树｜深度为 k 的二叉树最多有多少个结点	2^k - 1 个
树和二叉树｜完全二叉树 12 个结点的叶子结点数	6 个（⌈n/2⌉）
树和二叉树｜满二叉树与完全二叉树的关系	满二叉树是完全二叉树的特殊情形
树和二叉树｜二叉树的三种遍历顺序	先序（根左右）、中序（左根右）、后序（左右根）
树和二叉树｜树的深度指什么	结点的最大层数，也等于树的高度
树和二叉树｜树的深度等于树内各结点度的最大值吗	错，那是树的度；深度是最大层数

图｜图的两种遍历方法	深度优先搜索遍历（DFS）和广度优先搜索遍历（BFS）
图｜有向图的度等于什么	出度 + 入度
图｜9 个顶点的连通图最少需要多少条边	8 条（n-1）
图｜n 个顶点的无向完全图有多少条边	n(n-1)/2
图｜n 个顶点的有向完全图有多少条边	n(n-1)
图｜专升本会考最小生成树和最短路径的算法细节吗	不会，只考概念与名称

查找｜折半查找对查找表的要求	必须是键值有序的顺序表
查找｜折半查找能用链表吗	不能
查找｜顺序查找的平均查找长度	(n+1)/2
查找｜折半查找最多比较次数	约 ⌈log₂n⌉ + 1

排序｜哪些排序算法是稳定的	直接插入、冒泡、归并
排序｜快速排序的最坏时间复杂度	O(n²)
排序｜归并排序的空间复杂度	O(n)
排序｜时间复杂度为 O(n log n) 的排序	快速排序、归并排序、堆排序
排序｜合并长度 5 和 9 的升序数组，最少比较次数	5
排序｜堆排序的空间复杂度	O(1)

调试｜编译错误指什么	语法错误，编译阶段发现（漏分号、括号不匹配）
调试｜链接错误指什么	找不到函数定义、重复定义
调试｜运行错误指什么	逻辑错误或运行时异常（数组越界、除零、死循环）
调试｜程序运行环境与调试模块考过吗	2023、2024 真题均未出现；2026 考纲新增模块

考频结论｜全卷 C 语言占多少分	129 分/卷（64.5%）
考频结论｜全卷数据结构占多少分	71 分/卷（35.5%）
考频结论｜全卷分值最高的模块是哪个	数组（35.5 分/卷，17.8%）
考频结论｜全卷分值第二高的模块是哪个	循环结构（29.0 分/卷，14.5%）
考频结论｜数据结构部分分值最高的模块	线性表（17.5 分/卷）
考频结论｜树图查找排序四个模块合计多少分	19.5 分/卷（9.75%）
考频结论｜循环 + 数组合计多少分	64.5 分/卷（32%）
考频结论｜网传「C语言45-50%、数据结构50-55%」对吗	错，与真题严重不符
考频结论｜主观题 100 分由哪三种题型构成	简答 40 + 计算 30 + 应用 30
考频结论｜客观题 100 分由哪三种题型构成	单选 60 + 判断 20 + 填空 20
考频结论｜计算机基础与程序设计的题型分值	单选 20×3=60、判断 10×2=20、填空 5×4=20、简答 4×10=40、计算 3×10=30、应用 3×10=30
考频结论｜网传「单选20×2 / 填空10×2 / 程序阅读4×5 / 程序填空3×6 / 编程2×16 / 综合应用3×20」对吗	错，加总仅 190 分，且漏掉判断题和简答题共 60 分
